id,tier,topic,type,question,answer,alternative_answer,explanation,created_at,expected_output,language
E001,expert,property,write_the_code,"Write a class Temperature with a private attribute _celsius. Add a property celsius that returns _celsius, and a setter that raises ValueError(""Temperature below -273.15 is not possible"") if the value is below -273.15. Create an instance, set celsius to 25, then print it.","class Temperature:
    def __init__(self, celsius=0):
        self.celsius = celsius

    @property
    def celsius(self):
        return self._celsius

    @celsius.setter
    def celsius(self, value):
        if value < -273.15:
            raise ValueError(""Temperature below -273.15 is not possible"")
        self._celsius = value

t = Temperature()
t.celsius = 25
print(t.celsius)",,"@property turns a method into a read-only attribute. Pairing it with @<name>.setter allows controlled writes. The setter validates the value before storing it in the private _celsius attribute. Note that self.celsius = celsius in __init__ routes through the setter, so validation runs at construction time too.",2026-05-08 16:11:13.914963+00,25,python
E002,expert,classmethod,write_the_code,"Write a class Point with __init__(x, y). Add a class method from_string(cls, s) that parses a string in the format ""x,y"" and returns a new Point. Create a Point from the string ""3,4"" and print its x and y attributes.","class Point:
    def __init__(self, x, y):
        self.x = x
        self.y = y

    @classmethod
    def from_string(cls, s):
        x, y = s.split("","")
        return cls(int(x), int(y))

p = Point.from_string(""3,4"")
print(p.x, p.y)",,@classmethod receives the class (cls) as its first argument instead of an instance. This makes it a natural alternative constructor — it builds a new instance from a different input format. Using cls(...) instead of Point(...) ensures that subclasses inherit the constructor correctly.,2026-05-08 16:11:13.914963+00,3 4,python
E003,expert,staticmethod,write_the_code,"Write a class MathUtils with a static method is_even(n) that returns True if n is even, False otherwise. Call MathUtils.is_even(4) and MathUtils.is_even(7) and print both results.","class MathUtils:
    @staticmethod
    def is_even(n):
        return n % 2 == 0

print(MathUtils.is_even(4))
print(MathUtils.is_even(7))",,"@staticmethod creates a method that belongs to the class namespace but receives neither self nor cls. Use it for utility functions that are logically related to the class but do not need access to instance or class state. They can be called on the class directly, making the intent clear.",2026-05-08 16:11:13.914963+00,"True
False",python
E004,expert,dataclasses,write_the_code,"Using @dataclass, write a class Product with fields name (str), price (float), and quantity (int) with a default of 1. Create Product(""Widget"", 9.99) and print it.","from dataclasses import dataclass

@dataclass
class Product:
    name: str
    price: float
    quantity: int = 1

p = Product(""Widget"", 9.99)
print(p)",,"@dataclass auto-generates __init__, __repr__, and __eq__ from the annotated class attributes. Fields with defaults must come after fields without. The generated __repr__ produces a readable string like Product(name='Widget', price=9.99, quantity=1) automatically.",2026-05-08 16:11:13.914963+00,"Product(name='Widget', price=9.99, quantity=1)",python
E005,expert,dataclasses,write_the_code,"Write a @dataclass class Circle with a field radius (float) using field(default=1.0). Add a __post_init__ method that raises ValueError(""Radius must be positive"") if radius is not positive. Add a property area that returns math.pi * radius ** 2. Create Circle(3.0) and print its area rounded to 2 decimal places.","import math
from dataclasses import dataclass, field

@dataclass
class Circle:
    radius: float = field(default=1.0)

    def __post_init__(self):
        if self.radius <= 0:
            raise ValueError(""Radius must be positive"")

    @property
    def area(self):
        return math.pi * self.radius ** 2

c = Circle(3.0)
print(round(c.area, 2))",,field() is used when a default value needs extra configuration metadata. __post_init__ runs automatically after __init__ and is the right place for validation that depends on the fully constructed instance. Adding @property to a dataclass works exactly like a regular class — @dataclass only generates the __init__ plumbing.,2026-05-08 16:11:13.914963+00,28.27,python
E006,expert,__slots__,write_the_code,"Write a class Vector2D using __slots__ = (""x"", ""y"") with __init__(x, y). Add a method magnitude() that returns (x**2 + y**2) ** 0.5. Create Vector2D(3, 4) and print its magnitude.","class Vector2D:
    __slots__ = (""x"", ""y"")

    def __init__(self, x, y):
        self.x = x
        self.y = y

    def magnitude(self):
        return (self.x ** 2 + self.y ** 2) ** 0.5

v = Vector2D(3, 4)
print(v.magnitude())",,"__slots__ replaces the per-instance __dict__ with a fixed-size structure, reducing memory usage significantly when many instances are created. The trade-off is that you cannot add new attributes at runtime. Each slot name becomes a descriptor on the class.",2026-05-08 16:11:13.914963+00,5.0,python
E007,expert,advanced_decorators,write_the_code,"Write a decorator factory repeat(n) that makes a decorated function run n times. Decorate a function say(msg) that prints the message. Apply @repeat(3) to say and call say(""Hi"").","def repeat(n):
    def decorator(func):
        def wrapper(*args, **kwargs):
            for _ in range(n):
                func(*args, **kwargs)
        return wrapper
    return decorator

@repeat(3)
def say(msg):
    print(msg)

say(""Hi"")",,"A parametrized decorator adds an outer factory layer: repeat(n) returns the actual decorator, which returns the wrapper. This gives three levels of nesting — factory -> decorator -> wrapper. The factory captures n in a closure, so the decorator remembers how many times to repeat each call.",2026-05-08 16:11:13.914963+00,"Hi
Hi
Hi",python
E008,expert,advanced_decorators,write_the_code,"Write a class-based decorator CallCounter that tracks how many times a decorated function has been called. Store the count in a count attribute and call the original function on each invocation. Decorate a function greet(name) that prints ""Hello, <name>"". Call it twice, then print greet.count.","class CallCounter:
    def __init__(self, func):
        self.func = func
        self.count = 0

    def __call__(self, *args, **kwargs):
        self.count += 1
        return self.func(*args, **kwargs)

@CallCounter
def greet(name):
    print(f""Hello, {name}"")

greet(""Alice"")
greet(""Bob"")
print(greet.count)",,"A class-based decorator implements __init__ (receives the function) and __call__ (invoked on each call). This is cleaner than a closure when the decorator needs mutable state. @CallCounter on greet replaces greet with a CallCounter instance, so greet.count gives direct access to the call counter.",2026-05-08 16:11:13.914963+00,"Hello, Alice
Hello, Bob
2",python
E009,expert,generators,write_the_code,"Write a generator function accumulator() that yields the running total of values sent into it. The total starts at 0. Prime the generator with next(), then send the values 10, 20, and 5 one at a time, printing each yielded total.","def accumulator():
    total = 0
    while True:
        value = yield total
        total += value

gen = accumulator()
next(gen)
print(gen.send(10))
print(gen.send(20))
print(gen.send(5))",,"send(value) resumes the generator and injects a value that becomes the result of the yield expression. Before send() can pass data, the generator must be advanced to the first yield with next() — this is called priming. Each loop iteration yields the running total, then waits for the next send() call.",2026-05-08 16:11:13.914963+00,"10
30
35",python
E010,expert,generators,write_the_code,"Write a generator function chain(*iterables) that yields every item from each iterable in sequence using yield from. Call chain([1, 2], [3, 4], [5]) and print each yielded value on its own line.","def chain(*iterables):
    for iterable in iterables:
        yield from iterable

for value in chain([1, 2], [3, 4], [5]):
    print(value)",,"yield from delegates to a sub-iterable, yielding all its items as if they came from the outer generator. It is cleaner than a for loop with yield because it also correctly forwards send(), throw(), and close() calls through to the inner generator — important for coroutine chains.",2026-05-08 16:11:13.914963+00,"1
2
3
4
5",python
