id,tier,topic,type,question,answer,alternative_answer,explanation,expected_output,created_at
JSA001,expert,memoization,write_the_code,"Write a function memoize(fn) that caches results keyed by the first argument. The original function should only run on a cache miss.

const square = memoize(n => {
  console.log('computing');
  return n * n;
});
square(4); // logs 'computing', returns 16
square(4); // returns 16, no log
square(5); // logs 'computing', returns 25","function memoize(fn) {
  const cache = new Map();
  return function(arg) {
    if (cache.has(arg)) return cache.get(arg);
    const result = fn(arg);
    cache.set(arg, result);
    return result;
  };
}",,"A Map is used rather than a plain object so that non-string keys (numbers, objects) are stored correctly. On each call the cache is checked first; only on a miss is fn called and its result stored. This trades memory for speed — each unique input is computed at most once.",,2026-05-15 16:57:21.711974+00
JSA002,expert,iterators,write_the_code,"Make the range object iterable by implementing Symbol.iterator, so it works with for...of and spread.

const range = { start: 1, end: 4 };
// After your addition:
console.log([...range]); // [1, 2, 3, 4]","const range = {
  start: 1,
  end: 4,
  [Symbol.iterator]() {
    let current = this.start;
    const end = this.end;
    return {
      next() {
        if (current <= end) return { value: current++, done: false };
        return { value: undefined, done: true };
      }
    };
  }
};",,"The iteration protocol requires a [Symbol.iterator]() method that returns an iterator object with a next() method. next() must return { value, done }. When done is true, iteration stops. Capturing end in a local variable avoids issues if this changes context inside the returned object.",,2026-05-15 16:57:21.711974+00
JSA003,expert,promises,write_the_code,"Implement settleAll(promises) without using Promise.allSettled. It should return a Promise that resolves to an array where fulfilled Promises produce { status: 'fulfilled', value } and rejected Promises produce { status: 'rejected', reason }.

settleAll([Promise.resolve(1), Promise.reject('err'), Promise.resolve(3)])
  .then(console.log);
// [{status:'fulfilled',value:1},{status:'rejected',reason:'err'},{status:'fulfilled',value:3}]","function settleAll(promises) {
  return Promise.all(
    promises.map(p =>
      Promise.resolve(p)
        .then(value => ({ status: 'fulfilled', value }))
        .catch(reason => ({ status: 'rejected', reason }))
    )
  );
}",,"Wrapping each Promise in its own .then/.catch converts both outcomes into resolved values shaped like the allSettled format. Promise.all then waits for all of them — since none can reject (errors are caught), it always fulfils with the full array.",,2026-05-15 16:57:21.711974+00
JSA004,expert,weakmap,write_the_code,"Write a class BankAccount that uses a WeakMap to store a private balance inaccessible from outside the class. Provide deposit(amount) and getBalance() methods.

const acc = new BankAccount(100);
acc.deposit(50);
console.log(acc.getBalance()); // 150
console.log(acc._balance);     // undefined","const _balances = new WeakMap();

class BankAccount {
  constructor(initial) {
    _balances.set(this, initial);
  }
  deposit(amount) {
    _balances.set(this, _balances.get(this) + amount);
  }
  getBalance() {
    return _balances.get(this);
  }
}",,"WeakMap keys are objects (here, the instance), not strings. Storing data in a module-scoped WeakMap means no instance property exists to read directly. WeakMap entries are also garbage-collected when the instance is collected, preventing memory leaks — an advantage over a regular Map.",,2026-05-15 16:57:21.711974+00
JSA005,expert,proxy,write_the_code,"Write a function makeReadonly(obj) that returns a Proxy that throws a TypeError whenever any property is set.

const config = makeReadonly({ host: 'localhost', port: 3000 });
console.log(config.host); // 'localhost'
config.port = 8080;       // throws TypeError","function makeReadonly(obj) {
  return new Proxy(obj, {
    set(target, prop) {
      throw new TypeError('Cannot set property on readonly object');
    }
  });
}",,The Proxy set trap intercepts all property assignments. Throwing inside the trap prevents the assignment and surfaces the error to the caller. Reads fall through to the target via the default get behaviour (no get trap needed).,,2026-05-15 16:57:21.711974+00
JSA006,expert,generators,write_the_code,"Write an infinite generator function fibonacci() that yields Fibonacci numbers starting from 0.

const gen = fibonacci();
console.log(gen.next().value); // 0
console.log(gen.next().value); // 1
console.log(gen.next().value); // 1
console.log(gen.next().value); // 2
console.log(gen.next().value); // 3","function* fibonacci() {
  let [a, b] = [0, 1];
  while (true) {
    yield a;
    [a, b] = [b, a + b];
  }
}",,"Destructuring assignment [a, b] = [b, a + b] updates both values simultaneously without a temporary variable. The infinite while loop is safe in a generator because yield pauses execution — the caller controls when to ask for the next value.",,2026-05-15 16:57:21.711974+00
JSA007,expert,tagged-templates,write_the_code,"Write a tag function highlight that wraps every interpolated value in angle brackets.

const name = 'Alice';
const score = 42;
console.log(highlight`Player ${name} scored ${score} points`);
// 'Player <Alice> scored <42> points'","function highlight(strings, ...values) {
  return strings.reduce((result, str, i) => {
    return result + str + (values[i] !== undefined ? `<${values[i]}>` : '');
  }, '');
}",,A tagged template receives the static string parts as an array and the interpolated values as rest parameters. There is always one more string part than value (strings.length === values.length + 1). reduce walks each string segment and appends the matching value (if any) wrapped in angle brackets.,,2026-05-15 16:57:21.711974+00
JSA008,expert,functional,write_the_code,"Write a function partial(fn, ...presetArgs) that returns a new function with the first arguments pre-filled.

const multiply = (a, b, c) => a * b * c;
const double = partial(multiply, 2);
console.log(double(3, 4)); // 24","function partial(fn, ...presetArgs) {
  return function(...laterArgs) {
    return fn(...presetArgs, ...laterArgs);
  };
}","const partial = (fn, ...presetArgs) => (...laterArgs) => fn(...presetArgs, ...laterArgs);","partial captures presetArgs in a closure. When the returned function is called with laterArgs, both arrays are spread into fn. double = partial(multiply, 2) binds a=2; calling double(3, 4) provides b=3 and c=4, computing 2*3*4=24.",,2026-05-15 16:57:21.711974+00
JSA009,expert,functional,write_the_code,"Write a function pipe(...fns) that returns a function which applies each function left-to-right, passing each result as input to the next.

const process = pipe(
  x => x * 2,
  x => x + 1,
  x => x ** 2
);
console.log(process(3)); // ((3*2)+1)^2 = 49","function pipe(...fns) {
  return x => fns.reduce((acc, fn) => fn(acc), x);
}",,"pipe is left-to-right composition. reduce threads the accumulator through each function in order. Starting with x=3: 3*2=6 → 6+1=7 → 7**2=49. This is the mirror of compose, which applies right-to-left.",,2026-05-15 16:57:21.711974+00
JSA010,expert,symbols,write_the_code,"Write a class Temperature with a constructor(celsius) and Symbol.toPrimitive. When hinted as 'string' return '${celsius}°C'; for all other hints return the numeric celsius value.

const t = new Temperature(100);
console.log(+t);     // 100
console.log(`${t}`); // '100°C'
console.log(t + 0);  // 100","class Temperature {
  constructor(celsius) {
    this.celsius = celsius;
  }
  [Symbol.toPrimitive](hint) {
    if (hint === 'string') return `${this.celsius}°C`;
    return this.celsius;
  }
}",,"Symbol.toPrimitive is called whenever the engine needs to coerce an object to a primitive. The hint argument is 'string', 'number', or 'default'. Template literals use 'string'; the unary + and arithmetic use 'number' or 'default'.",,2026-05-15 16:57:21.711974+00
